ICAO,name,CMX,bpt_file,lw_rule,num_built,active,year_introduced,year_last_produced,year_retired,manufacturer,country,length,wingspan,wingspan_swept_folded,lw_rule2,engine_type,engine_position,num_engines,description,wing_position,wing_shape,wingtip_tanks,winglets,canards,amphibious,awacs,twin_boom,tail_position,num_tail_fins,Notes,bpt_file2
B734,737-400,C,boeing-737-400.png,AC7,486,True,1988,,,BOEING,USA,36.48,28.9,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B735,737-500,C,737-500.png,AC7,389,True,1989,,,BOEING,USA,31.06,28.8,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B736,737-600,C,Boeing_737-600.png,AC7,69,True,1998,,,BOEING,USA,31.24,34.31,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B736W,737-600w,C,B737.jpeg,AC7,100,True,1998,,,BOEING,USA,31.24,35.79,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B737,737-700,C,B737_3D.jpg,AC7,22,True,2000,,,BOEING,USA,33.63,34.31,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B737W,737-700w,C,23965-mid.jpg,AC7,1142,True,1997,,,BOEING,USA,33.63,35.79,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B738,737-800,C,01776-mid.jpg,AC7,174,True,2009,,,BOEING,USA,39.47,34.31,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B738W,737-800w,C,Boeing_737-800WL.jpg,AC7,4989,True,1997,,,BOEING,USA,39.47,35.79,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B739,737-900,C,,,52,True,2000,,,BOEING,USA,42.11,34.31,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B739W,737-900w,C,737-900-L.jpg,AC7,505,True,2006,,,BOEING,USA,42.11,35.79,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B741,"747-100, 747-200, 747-300, 747-400 (domestic, no winglets)",C,boeing-747-200.jpg,AC2,661,True,1970,,,BOEING,USA,70.67,59.64,,,jet,['wings'],4,L4J,low,swept,False,False,False,False,False,False,fuselage,1,,
B744,"747-400 (international, winglets)",C,Boeing_747-400.png,AC2,675,True,1989,,,BOEING,USA,70.67,64.4,,,jet,['wings'],4,L4J,low,swept,False,True,False,False,False,False,fuselage,1,,
B748,747-8,C,B748.png,AC2,155,True,2005,,,BOEING,USA,76.25,68.4,,,jet,['wings'],4,L4J,low,swept,False,True,False,False,False,False,fuselage,1,,
B74S,747SP,C,B74S_3D.jpg,AC2,45,True,1976,,,BOEING,USA,56.3,59.6,,,jet,['wings'],4,L4J,low,swept,False,False,False,False,False,False,fuselage,1,,
B752,757-200,C,B752_3D.jpg,AC0,600,True,1988,2004,,BOEING,USA,47.3,38.1,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B752W,757-200WL,C,16967-mid-WM.jpg,AC0,394,True,1988,2008,,BOEING,USA,47.3,41,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B753,757-300,C,B753.jpeg,AC0,20,True,1999,2004,,BOEING,USA,54.4,38.1,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B753W,757-300WL,C,boeing-757-300_WM.png,AC0,35,True,1988,2008,,BOEING,USA,54.4,41,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B762,"767-200, 767-200ER",C,Boeing-767-200.jpg,AC2,249,True,1982,,,BOEING,USA,48.51,47.57,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B763,"767-300, 767-300ER",C,B763_ER.jpeg,AC2,687,True,1988,,,BOEING,USA,54.94,47.57,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B763F,767-300F,C,B767-300F_UPS.jpg,AC0,236,True,1988,,,BOEING,USA,53.67,51.92,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B764,767-400ER,C,B764_ER.jpeg,AC2,38,True,2000,,,BOEING,USA,61.37,51.92,,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B772,"777-200, 777-200ER",C,B772_3D.jpg,AC7,510,True,1997,,,BOEING,USA,63.73,60.93,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B773,777-300,C,B777_300.png,AC0,60,True,1998,,,BOEING,USA,73.86,60.93,,,jet,['wings'],2,L2J,low,swept,False,False,False,False,False,False,fuselage,1,,
B778,"777-8, 777-8F",C,,,-1,True,2023,,,BOEING,USA,70.87,71.75,64.85,,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
B779,777-9,C,Boeing_777-9X.jpg,AC7,363,True,2022,,,BOEING,USA,76.73,71.75,64.85,AC9,jet,['wings'],2,L2J,low,swept,False,True,False,False,False,False,fuselage,1,,
